Sneha Chandrashekar,1,doctor,Angel!c
Mike Varshavski,2,doctor,pee-woop
Johnny Sins,3,doctor,bangganger
Andr�s Arat�,4,doctor,noidea
Robert Liston,5,doctor,noidea
Sigmund Frued,6,doctor,psycology
Edward Jenner,7,doctor,noidea
Alexander Flemming,8,doctor,somebodythatiusedtoknow
Elizabeth Blackwell,9,doctor,noidea
John Watson,10,doctor,sherlocksrighthand
Theodore Key,11,tech,noidea
Praveen Chopra,12,tech,loaded
Michael Stevens,13,tech,VSauce
Jim Donaldson,14,tech,moneymoneymoney
Alexandria Silva,15,tech,noidea
Karen Gillan,16,admin,redhot
Don Atello,17,admin,namefunny
Mike Oxlong,18,admin,namefunny
Ben Dover,19,admin,namefunny
Lass Twone,20,admin,namefunny
0 0,0,admin,0
