id,name,adress,phoneno,removed
1,Valery Packham,57 Dayton Road,2457275725,0
2,Eugenia De Laspee,433 Parkside Center,8191810041,1
3,Neron Thowes,156 Old Shore Parkway,8665754501,1
4,Anetta Everix,467 Mayfield Alley,9388772460,1
5,Cornela Speer,15613 Marcy Alley,2545989210,0
6,Odo Blastock,7710 Summerview Hill,2227157334,0
7,Emalee O'Keenan,2046 8th Junction,7836723161,0
8,Kipp Sighard,89 Debra Plaza,3144168530,0
9,Gonzales Chalice,57 Anthes Park,2028219611,1
10,Farlay Hearons,42839 Mccormick Pass,4786256623,1
11,Evered Bees,335 Farwell Hill,7816916665,0
12,Binni Sleford,83834 Golden Leaf Way,1806967197,1
13,Iorgos Bennell,52 Melvin Pass,8914145640,0
14,Silvana Bampforth,9295 Mendota Parkway,8503463153,0
15,Sher Sweeten,1 Barby Crossing,2378840056,0
16,Leonid Padefield,2 Iowa Road,9105901531,0
17,Kaitlin Davoren,387 Garrison Drive,9987025248,1
18,Dona Dilworth,9 Gale Junction,9797477664,0
19,Obediah Pocklington,5 Daystar Pass,4364183944,0
20,Kippie Hoodspeth,7385 Canary Place,7007827913,1
21,Chad Mirams,00485 Sage Pass,4056853362,1
22,Benedicto Worster,37 Maryland Road,8306187644,1
23,Drake McIan,7 Lakewood Trail,8729733043,1
24,Konstantine Casse,52 Morrow Terrace,8533554905,1
25,Ainsley Scully,87017 Doe Crossing Place,4659381101,1
26,Korney Spurritt,4 Hovde Hill,3746642749,1
27,Harris Gillopp,12025 Dayton Pass,2768463804,0
28,Rois Lippiatt,65393 Forest Dale Pass,3853984298,1
29,Antonin Cranston,1752 Eggendart Drive,3887507607,0
30,Sula Milier,2 Drewry Plaza,2511207480,0
31,Tobe Fillary,3 Jenifer Terrace,8775941885,0
32,Melba Gannicleff,88002 Algoma Court,7476608112,1
33,Kellyann Riseborough,3235 Ronald Regan Point,7847478204,1
34,Trisha Coulter,87854 Ruskin Place,6254054840,1
35,Carolus Thorbon,866 Birchwood Road,8897499777,1
36,Loree Justham,3 Old Gate Point,5806881723,0
37,Web Hairesnape,449 Dottie Park,6956440208,1
38,Theresina Greenstead,472 Meadow Ridge Terrace,6897172740,0
39,Xever Boundey,41019 Butternut Court,6758490557,0
40,Andie Haily,5 Annamark Trail,7503285965,0
41,Elfie Lambertini,4365 Paget Junction,2382911058,0
42,Jo-anne Raven,922 Florence Hill,9124351493,1
43,Albertine Rame,7 Meadow Valley Plaza,9622675582,0
44,Sidney Bracher,883 Nobel Center,2968442547,0
45,Marylee Bumpus,50137 Knutson Terrace,7238175251,0
46,Elwood Runsey,24660 Anzinger Way,6755805382,1
47,Tybalt Cullivan,4 Orin Pass,7797262288,1
48,Derry Stonuary,4448 Rieder Junction,5148366966,1
49,Griffin Basili,4 Katie Road,4388367695,1
50,Rori Covington,73 Green Ridge Court,1156753591,1
51,Reinald Doornbos,3618 Sachs Terrace,5538022926,0
52,Myrtle Olohan,234 Lakeland Alley,3186203799,0
53,Karyn Fortey,0 Calypso Street,2959157542,1
54,Nicolea Curdell,2713 Shasta Drive,8267697339,1
55,Rog Glassup,81 Clove Point,1434603984,0
56,Brittani Beachamp,0 Union Place,2773427862,1
57,Franciskus Firminger,40 Golf Road,7331692672,1
58,Hermine Bellhouse,1151 Northland Crossing,6907491621,0
59,Mannie Kilgallon,539 Kings Trail,5256002896,0
60,Zebedee Tillett,717 Crescent Oaks Street,5114274010,0
61,Miquela O'Grogane,421 Cottonwood Street,8908240116,1
62,Abramo Kobpal,2858 Prairieview Circle,1014188051,0
63,Early Shovelbottom,58 Main Crossing,1499346379,0
64,Gena Filipyev,885 Moose Terrace,2459580156,0
65,Carole Verriour,26044 Kenwood Drive,4936744655,0
66,Ricki Brotherhood,1657 Mesta Drive,9987443051,0
67,Pincas Denekamp,76402 Farmco Terrace,9457094024,0
68,Gibby Zywicki,7876 Namekagon Way,2804078299,0
69,Arnoldo Handrek,06 Pankratz Park,2918330128,1
70,Rudolf Whyffen,07066 Jenna Park,3217375351,0
71,Winne Laffoley-Lane,50109 Meadow Vale Point,1946999262,0
72,Barnabas McSkin,1 Calypso Avenue,5722060812,0
73,Amanda Prestedge,11139 Del Sol Drive,2419632563,1
74,Rickie Trevillion,64398 Southridge Circle,7412098423,1
